[2026-06-04 00:42:57.195] FAILED | Snorlax Lv14 | great_ball 1.5x | baseCR=25 modCR=19.6 | HP=71.4% | status=none 1.0x | turn=3
[2026-06-04 00:43:09.995] FAILED | Snorlax Lv14 | great_ball 1.5x | baseCR=25 modCR=19.6 | HP=71.4% | status=none 1.0x | turn=4
[2026-06-04 00:43:32.787] CAUGHT | Snorlax Lv14 | great_ball 1.5x | baseCR=25 modCR=28.6 | HP=35.7% | status=none 1.0x | turn=6
[2026-06-04 00:50:21.263] FAILED | Taillow Lv11 | great_ball 1.5x | baseCR=200 modCR=100.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 00:50:53.680] FAILED | Taillow Lv11 | ancient_slate_ball 1.0x | baseCR=200 modCR=120.8 | HP=59.4% | status=none 1.0x | turn=4
[2026-06-04 00:51:04.947] FAILED | Taillow Lv11 | ancient_slate_ball 1.0x | baseCR=200 modCR=120.8 | HP=59.4% | status=none 1.0x | turn=5
[2026-06-04 00:51:22.441] FAILED | Taillow Lv11 | citrine_ball 1.0x | baseCR=200 modCR=120.8 | HP=59.4% | status=none 1.0x | turn=6
[2026-06-04 00:51:48.159] CAUGHT | Taillow Lv11 | citrine_ball 1.0x | baseCR=200 modCR=120.8 | HP=59.4% | status=none 1.0x | turn=8
[2026-06-04 00:53:58.645] CAUGHT GUARANTEED | Lotad Lv7 | dive_ball 1.0x | baseCR=255 modCR=425.0 | HP=100.0% | status=sleep 2.5x | turn=3
[2026-06-04 01:09:22.977] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=25.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 01:09:58.085] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=39.9 | HP=70.3% | status=none 1.0x | turn=4
[2026-06-04 01:10:13.325] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=39.9 | HP=70.3% | status=none 1.0x | turn=5
[2026-06-04 01:10:52.276] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=58.8 | HP=32.4% | status=none 1.0x | turn=9
[2026-06-04 01:11:08.426] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=58.8 | HP=32.4% | status=none 1.0x | turn=10
[2026-06-04 01:11:23.078] FAILED | Toxel Lv15 | poke_ball 1.0x | baseCR=75 modCR=58.8 | HP=32.4% | status=none 1.0x | turn=11
[2026-06-04 01:12:02.461] CAUGHT | Toxel Lv15 | premier_ball 1.0x | baseCR=75 modCR=66.9 | HP=16.2% | status=none 1.0x | turn=14
[2026-06-04 01:13:43.900] FAILED | Pichu Lv5 | citrine_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 01:14:02.082] FAILED | Pichu Lv5 | net_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=2
[2026-06-04 01:14:16.384] FAILED | Pichu Lv5 | net_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=3
[2026-06-04 01:14:31.824] FAILED | Pichu Lv5 | net_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=4
[2026-06-04 01:14:50.497] FAILED | Pichu Lv5 | net_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=5
[2026-06-04 01:38:46.971] CAUGHT | Drizzile Lv25 | quick_ball 1.0x | baseCR=45 modCR=37.5 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-04 02:00:53.127] FAILED | Eevee Lv11 | level_ball 3.0x | baseCR=45 modCR=45.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 02:01:25.183] FAILED | Eevee Lv11 | repeat_ball 1.0x | baseCR=45 modCR=22.7 | HP=74.3% | status=none 1.0x | turn=4
[2026-06-04 02:01:40.220] CAUGHT | Eevee Lv11 | ancient_poke_ball 1.0x | baseCR=45 modCR=22.7 | HP=74.3% | status=none 1.0x | turn=5
[2026-06-04 02:03:33.501] FAILED | Minior Lv21 | ancient_azure_ball 1.0x | baseCR=30 modCR=13.4 | HP=82.8% | status=none 1.0x | turn=2
[2026-06-04 02:04:11.291] FAILED | Minior Lv21 | azure_ball 1.0x | baseCR=30 modCR=19.0 | HP=55.2% | status=none 1.0x | turn=6
[2026-06-04 02:04:25.086] CAUGHT | Minior Lv21 | azure_ball 1.0x | baseCR=30 modCR=19.0 | HP=55.2% | status=none 1.0x | turn=7
[2026-06-04 02:04:58.775] CAUGHT | Applin Lv14 | azure_ball 1.0x | baseCR=255 modCR=226.7 | HP=16.7% | status=none 1.0x | turn=2
[2026-06-04 02:08:43.287] FAILED | Mankey Lv19 | azure_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=3
[2026-06-04 02:09:03.428] FAILED | Mankey Lv19 | dive_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=5
[2026-06-04 02:09:20.174] FAILED | Mankey Lv19 | dive_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=6
